,Activated B cell,Activated CD4+ T cell,Activated T cell,Activated memory CD8+ T cell,Activated memory T cell,Activated naive CD8+ T cell,Activated naive T cell,Activated natural killer cell,Basophil,CD4+ T cell,CD8+ T cell,CD8+ effector T cell,Central memory CD4+ T cell,Cytotoxic T cell,Dasatinib NK cell,Dendritic cell,Dexamethasone NK cell,Early effector T cell,Effector T cell,Effector memory CD4 T cell,Effector memory CD8 T cell,Eosinophil,Exhausted CD4+ T cell,Exhausted CD8+ T cell,Gamma delta T cell,Gamma-delta T cell,Leukocyte,Mast cell,Memory CD4+ T cell,Memory CD8+ T cell,Memory T cell,Monocyte,Mucosa-associated invariant T cell,Myeloid-derived suppressor cell,NK cell,Natural killer cell,Regulatory T cell,Sotrastaurin NK cell,T cell,T follicular helper cell,T helper 17 cell,T helper 2 cell,T helper cell,T helper17 cell,Tissue resident memory T cell,Treg cell
IL23R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0
IL17RE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HPGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NR4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL4I1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,0.8328358509746158,0.35273826171441486,0.8247467105265176,0.8328358509746158,0.9518238722393613,0.9518238722393613,0.9518238722393613,0.9518238722393613,0.4427588231214688,1.135544014775923,11.673651156702082,0.4216470732608356,0.6851749512631786,1.9586827439439802,1.8362612921790114,0.13088738825066468,1.614385018734807,0.9518238722393613,0.40231314819148745,1.1574044187326284,1.1574044187326284,0.27924815663336505,0.5527953800035154,0.5527953800035154,0.26932287905224833,1.5086051447905922,0.4216470732608356,0.8328358509746158,3.0503191025829106,2.425453949322827,0.3384715870992581,0.011540855782178464,30.964845344993098,0.19284127030214113,0.520357238831366,3.080107987614836,0.17045227144928454,1.614385018734807,4.23045074594515,1.494613626387872,1.3451039493578836,0.4427588231214688,1.8362612921790114,0.6333344330501673,2.2710713471345776,0.46595966788464105
