,Central memory T cell,Regulatory T cell,T cell,T helper 17 cell,T helper 2 cell,T helper2 cell,Th2B cell,TolDC-induced regulatory T cell,Treg cell
CCR4,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Score,1.264774275559956,0.9641871461612431,0.9835487455288614,1.39777918706272,1.3111782540399552,1.6418935065341127,1.473432368318417,1.473432368318417,1.3373712884778606
