,B,DC,Mono,NK,Other,T
B,276,1,1,0,0,7
DC,0,175,14,0,1,0
Mono,0,14,162,0,15,0
NK,1,1,1,170,0,113
Other,0,0,0,0,0,0
T,26,5,2,62,0,763
