,B,DC,Mono,NK,Other,T
B,274,2,1,0,0,8
DC,0,175,14,0,1,0
Mono,0,32,147,0,12,0
NK,0,0,0,198,0,88
Other,0,0,0,0,0,0
T,12,3,2,49,0,792
