,B,DC,Mono,NK,Other,T
B,280,0,1,2,0,2
DC,0,179,11,0,0,0
Mono,0,1,172,0,18,0
NK,0,0,0,272,0,14
Other,0,0,0,0,0,0
T,1,2,1,39,0,815
