config,accuracy,accuracy_rel_pct,macro_f1,macro_f1_rel_pct,ari,ari_rel_pct,nmi,nmi_rel_pct,mcnemar_p,n_cells_evaluated,flip_fine,flip_coarse,n_flipped,flip_n_good,flip_n_bad,flip_n_both_ok,flip_n_both_bad,flip_precision
2ref-2000,0.02209944751381221,2.587322121604146,0.009501896957683997,1.3409063249803885,0.05861043516067155,8.65492461569776,0.03340664133223681,4.805811994096075,0.0006312889165112991,1810,"{'n_good': 68, 'n_bad': 403, 'n_both_ok': 561, 'n_both_bad': 968, 'flip_precision': 0.14437367303609341}","{'n_good': 86, 'n_bad': 49, 'n_both_ok': 1500, 'n_both_bad': 175, 'flip_precision': 0.6370370370370371}",471,86,49,1500,175,0.6370370370370371
1ref-2000,0.007734806629834279,0.821596244131458,0.006447011305711126,0.822808295686427,0.014024049090397894,1.5976805448927205,0.013730740787532558,1.603291657313403,0.004343509674072266,1810,"{'n_good': 19, 'n_bad': 45, 'n_both_ok': 890, 'n_both_bad': 1046, 'flip_precision': 0.296875}","{'n_good': 18, 'n_bad': 6, 'n_both_ok': 1700, 'n_both_bad': 86, 'flip_precision': 0.75}",64,18,6,1700,86,0.75
