,Activated CD8+ T cell,B cell,CD4+ T cell,CD8+ T cell,CD8+ effector T cell,Central memory T cell,Cytotoxic T cell,Dasatinib NK cell,Dendritic cell,Dexamethasone NK cell,Early effector T cell,Effector CD4+ T cell,Effector CD8+ T cell,Effector memory CD4+ T cell,Epithelial cell,Exhausted CD4+ T cell,Exhausted CD8+ T cell,Gamma delta T cell,Memory CD4+ T cell,Memory CD8+ T cell,Memory T cell,Monocyte,Mucosa-associated invariant T cell,Myeloid-derived suppressor cell,NK cell,Naive CD4+ T cell,Naive CD8+ T cell,Naive T cell,Natural killer cell,Neutrophil,Proliferative CD4+ T cell,Proliferative CD8+ T cell,Proliferative T cell,Regulatory CD4+ T cell,Regulatory CD8+ T cell,Regulatory T cell,Sotrastaurin NK cell,T cell,T follicular helper cell,Tissue resident macrophage
ITGB1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GZMH,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AHNAK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYL12A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GZMA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
UBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD3D,0.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CD52,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAX9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,0.6316113962694927,1.3578746894207898,0.4260979272593893,1.302641146551375,0.5845171845196813,2.1690388960827502,2.1038398178652695,2.4000492029375087,0.25076376660997496,2.1690388960827502,1.1303290342510235,0.722670760522421,0.761262519102692,0.8060595093768304,0.5638027508805694,0.722670760522421,0.722670760522421,0.41738896601595216,0.6615458593500612,0.8060595093768304,0.4945082207927007,0.3233153570672268,0.29463602111622345,0.328187132293958,0.6888179301804258,0.8632122191710428,0.8349405527216014,0.46595966788464105,1.6398079460399002,0.20414850934292586,0.8593349937463854,0.8593349937463854,1.0098859578290844,0.9248973454603898,0.9248973454603898,0.30090931842898916,2.1690388960827502,2.1946862400984886,0.5267888371754564,1.0098859578290844
