,CD4+ T cell,CD4+ naive T cell,CD8+ T cell,Dasatinib NK cell,Dexamethasone NK cell,Effector memory T cell,Mucosa-associated invariant T cell,Sotrastaurin NK cell,T cell
IL7R,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Score,1.8744023104287466,1.5198363467984162,0.763556995706291,1.3373712884778606,1.264774275559956,1.3111782540399552,0.9563677456018996,1.264774275559956,0.9835487455288614
